,proportion,proportion,proportion,proportion,proportion
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.01,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {       ""First Evaluation"": True,       ""Second Evaluation"": True   }}",0.01,,,,
"{  ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.01,,,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": False,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.01,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.01,0.02,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": False,    ""Second Evaluation"": False  }}",0.006666666666666667,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.006666666666666667,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.006666666666666667,,0.006666666666666667,,0.006666666666666667
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": False }}",0.006666666666666667,,,0.0033333333333333335,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": False, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.006666666666666667,,0.0033333333333333335,,
"{ ""Coherence"": False, ""Contextual attention"": False, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": False, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.006666666666666667,,,,0.1
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.006666666666666667,,0.0033333333333333335,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": False,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.006666666666666667,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": False, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.0033333333333333335,,0.01,0.0033333333333333335,
"{  ""Coherence"": False,  ""Contextual attention"": False,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,0.0033333333333333335
"{ ""Coherence"": False, ""Contextual attention"": False, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.0033333333333333335,,,,0.01
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": False,  ""Demonstration of empathy"": {    ""First Evaluation"": False,    ""Second Evaluation"": False  }}",0.0033333333333333335,,,,
"{ ""Coherence"": True, ""Contextual attention"": False, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": False, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.0033333333333333335,,0.0033333333333333335,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"":   {    ""First Evaluation"": True,     ""Second Evaluation"": True  }}",0.0033333333333333335,,,,
"{   ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"":     {       ""First Evaluation"": True,       ""Second Evaluation"": True     }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": False  }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": False,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",0.0033333333333333335,,,,0.0033333333333333335
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"":     {       ""First Evaluation"": True,       ""Second Evaluation"": True     }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,     ""Second Evaluation"": True  }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,    ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.0033333333333333335,,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {     ""First Evaluation"": true,     ""Second Evaluation"": true   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {       ""First Evaluation"": True,       ""Second Evaluation"": True     }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": False,   ""Go deeper into the conversation"": False,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": False }}",0.0033333333333333335,,0.006666666666666667,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": False,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.0033333333333333335,,,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": False }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {""First Evaluation"": True, ""Second Evaluation"": True}}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": False,    ""Second Evaluation"": True  }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,    ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": False   }}",0.0033333333333333335,,0.0033333333333333335,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": False,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": False,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": False  }}",0.0033333333333333335,,,,0.0033333333333333335
"{  ""Coherence"": True,  ""Contextual attention"": False,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.0033333333333333335,,,,
"{  ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {    ""First Evaluation"": True,     ""Second Evaluation"": True  }}",0.0033333333333333335,,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.29333333333333333,0.0033333333333333335,0.0033333333333333335,0.006666666666666667
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": { ""First Evaluation"": true, ""Second Evaluation"": true }}",,0.09666666666666666,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.06666666666666667,,,0.01
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": { ""First Evaluation"": true, ""Second Evaluation"": true }}",,0.03666666666666667,,,0.006666666666666667
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": True,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": {        ""First Evaluation"": True,        ""Second Evaluation"": True    }}",,0.02666666666666667,0.01,0.0033333333333333335,
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": True,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,0.02666666666666667,,,
"```json{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.023333333333333334,,,0.0033333333333333335
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": False,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": {        ""First Evaluation"": True,        ""Second Evaluation"": True    }}",,0.016666666666666666,,,0.006666666666666667
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": False,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,0.013333333333333334,,,0.0033333333333333335
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": True,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,0.013333333333333334,,,0.0033333333333333335
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": True,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",,0.013333333333333334,,,
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": False,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,0.01,,,0.0033333333333333335
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": False,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",,0.006666666666666667,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": false  }}",,0.006666666666666667,,,0.0033333333333333335
"{    ""Coherence"": true,    ""Contextual attention"": true,    ""Formulation of clarifying questions"": true,    ""Go deeper into the conversation"": true,    ""Absence of judgment or criticism"": true,    ""Demonstration of empathy"": { ""First Evaluation"": true, ""Second Evaluation"": true }}",,0.006666666666666667,,,
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": True,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": {""First Evaluation"": True,""Second Evaluation"": True}}",,0.006666666666666667,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": false,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.006666666666666667,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": False,    ""Second Evaluation"": True  }}",,0.006666666666666667,,,0.0033333333333333335
"{  ""Coherence"": True,  ""Contextual attention"": False,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",,0.0033333333333333335,,,
"```json{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.0033333333333333335,,,
"{    ""Coherence"": true,    ""Contextual attention"": true,    ""Formulation of clarifying questions"": true,    ""Go deeper into the conversation"": true,    ""Absence of judgment or criticism"": true,    ""Demonstration of empathy"": {        ""First Evaluation"": true,        ""Second Evaluation"": true    }}",,0.0033333333333333335,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {""First Evaluation"": True, ""Second Evaluation"": True}}",,0.0033333333333333335,,,
"{""Coherence"": True, ""Contextual attention"": False, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": False }}",,0.0033333333333333335,,,
"{	""Coherence"": true,	""Contextual attention"": true,	""Formulation of clarifying questions"": true,	""Go deeper into the conversation"": true,	""Absence of judgment or criticism"": true,	""Demonstration of empathy"": {		""First Evaluation"": true,		""Second Evaluation"": true	}}",,0.0033333333333333335,,,
"{  ""Coherence"": true,  ""Contextual attention"": false,  ""Formulation of clarifying questions"": true,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.0033333333333333335,,,
"""Coherence"": True""Contextual attention"": True""Formulation of clarifying questions"": True""Go deeper into the conversation"": True""Absence of judgment or criticism"": True""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }",,0.0033333333333333335,,,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": {       ""First Evaluation"": True,      ""Second Evaluation"": True   }}",,0.0033333333333333335,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": false,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": true  }}",,0.0033333333333333335,,0.0033333333333333335,
"json: { ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,0.0033333333333333335,,,0.006666666666666667
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": True,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": {         ""First Evaluation"": True,         ""Second Evaluation"": True     }}",,0.0033333333333333335,,,
"{""Coherence"": True,""Contextual attention"": True,""Formulation of clarifying questions"": False,""Go deeper into the conversation"": True,""Absence of judgment or criticism"": True,""Demonstration of empathy"": {""First Evaluation"": True, ""Second Evaluation"": True}}",,0.0033333333333333335,,,
"{    ""Coherence"": true,    ""Contextual attention"": true,    ""Formulation of clarifying questions"": false,    ""Go deeper into the conversation"": true,    ""Absence of judgment or criticism"": true,    ""Demonstration of empathy"": { ""First Evaluation"": true, ""Second Evaluation"": true }}",,0.0033333333333333335,,,
"{    ""Coherence"": True,    ""Contextual attention"": True,    ""Formulation of clarifying questions"": True,    ""Go deeper into the conversation"": True,    ""Absence of judgment or criticism"": True,    ""Demonstration of empathy"": {         ""First Evaluation"": True,        ""Second Evaluation"": True    }}",,0.0033333333333333335,,,
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": { ""First Evaluation"": true, ""Second Evaluation"": false }}",,0.0033333333333333335,,,0.0033333333333333335
"{  ""Coherence"": true,  ""Contextual attention"": true,  ""Formulation of clarifying questions"": false,  ""Go deeper into the conversation"": true,  ""Absence of judgment or criticism"": true,  ""Demonstration of empathy"": {    ""First Evaluation"": true,    ""Second Evaluation"": false  }}",,0.0033333333333333335,,,0.0033333333333333335
"{""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,,0.16666666666666666,0.16333333333333333,
"{""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",,,0.10333333333333333,0.20666666666666667,
